first_name,second_name,element_type,now_cost,selected_by_percent,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,season
Dominic,Sadi,MID,45,0.0,1,1,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,2023-24
Michael,Dacosta Gonzalez,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Callan,McKenna,GK,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Kristoffer,Ajer,DEF,44,0.7,68,1826,2,1,5,33,5,0,3,323,406.8,166.6,223.0,79.7,2023-24
Ellery,Balcombe,GK,39,0.2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Shandon,Baptiste,MID,43,0.7,19,222,1,1,0,5,1,0,0,83,92.4,54.8,60.0,20.6,2023-24
Mads,Bech Sørensen,DEF,40,0.1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Mads,Bidstrup,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Sergi,Canós Tenés,MID,50,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Nathan,Collins,DEF,45,0.8,84,2649,1,1,7,51,3,0,8,489,653.8,151.5,180.0,98.7,2023-24
Matthew,Cox,GK,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Mikkel,Damsgaard,MID,48,0.0,45,829,0,4,5,9,2,0,0,155,162.6,179.1,103.0,44.7,2023-24
Josh,Dasilva,MID,47,0.0,3,22,0,0,0,0,0,0,0,6,6.8,15.4,14.0,3.6,2023-24
Halil,Dervişoğlu,FWD,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Mark,Flekken,GK,47,4.5,119,3285,0,1,7,63,3,0,12,685,921.2,40.3,0.0,96.2,2023-24
Charlie,Goode,DEF,39,0.1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
