id,first_name,second_name,team,element_type,now_cost,selected_by_percent,form,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
497,Martin,Dubravka,19,1,40,24.4,0.0,96,3150,0,0,4,71,0,0,0,1,0,127,7,436,976.4,0.0,0.0,97.9
498,Marcos,Senesi Barón,19,2,60,10.9,0.0,175,3288,0,6,11,53,0,0,0,8,0,0,14,571,1114.4,367.8,201.0,168.6
499,Pedro,Porro Sauceda,19,2,55,23.9,0.0,117,2793,1,3,9,40,0,0,0,10,0,0,8,502,690.2,881.7,202.0,177.5
500,Cristian,Romero,19,2,50,1.1,0.0,91,1869,4,1,5,33,0,0,0,9,2,0,10,305,574.8,133.6,223.0,93.2
501,Kevin,Danso,19,2,50,0.2,0.0,63,1489,0,0,4,25,0,0,0,8,0,0,1,219,407.0,49.5,96.0,55.5
502,Andrew,Robertson,19,2,45,1.8,0.0,55,1165,1,0,4,16,0,0,0,0,0,0,4,216,239.8,318.8,121.0,68.2
503,Micky,van de Ven,19,2,50,6.5,0.0,116,3041,4,1,9,50,0,0,0,9,1,0,10,431,683.4,95.2,218.0,99.6
505,Djed,Spence,19,2,45,9.5,0.0,78,2049,0,0,9,31,0,0,0,4,0,0,3,271,291.0,209.7,207.0,70.5
506,Destiny,Udogie,19,2,45,0.4,0.0,29,1335,0,1,1,25,0,0,0,4,0,0,1,121,207.2,187.0,103.0,49.8
507,Ashley,Phillips,19,2,45,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
508,Ben,Davies,19,2,40,0.8,0.0,10,136,1,0,0,3,0,0,0,1,0,0,1,29,67.4,22.2,52.0,14.2
509,Jun'ai,Byfield,19,2,40,0.1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0.5,0.0,0.1
510,James,Rowswell,19,2,40,0.1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0
511,João Victor,de Souza Menezes,19,2,40,0.3,0.0,3,142,0,0,0,3,0,0,0,1,0,0,0,0,12.8,31.9,17.0,6.2
512,Mohammed,Kudus,19,3,65,0.2,0.0,75,1535,2,6,7,20,0,0,0,3,0,0,7,257,333.4,413.8,302.0,104.7
513,Xavi,Simons,19,3,60,0.0,0.0,80,1747,2,5,4,36,0,0,0,5,1,0,7,345,349.6,533.8,255.0,113.9
514,Mathys,Tel,19,3,60,0.4,0.0,78,1334,4,2,3,23,0,0,0,1,0,0,7,266,303.4,457.2,312.0,107.6
515,James,Maddison,19,3,65,2.1,0.0,3,34,0,0,0,0,0,0,0,0,0,0,0,5,2.8,9.5,15.0,2.8
516,Rodrigo,Bentancur,19,3,55,0.1,0.0,86,1880,1,1,8,25,0,0,0,7,0,0,4,366,349.0,197.8,124.0,67.4
517,Wilson,Odobert,19,3,55,0.0,0.0,46,972,0,2,2,13,0,0,0,0,0,0,6,176,158.8,284.3,234.0,67.6
518,Pape Matar,Sarr,19,3,50,0.4,0.0,71,1388,2,4,3,23,0,0,0,3,0,0,2,313,336.0,188.3,156.0,68.2
519,Conor,Gallagher,19,3,55,0.2,0.0,44,1183,1,1,2,23,0,0,0,2,0,0,3,211,190.6,205.9,154.0,55.1
